País,Variable,Código CINE,Nivel CINE,Grado,Población,Year,value,Definicion_variable
Chile,"𝐼𝐺𝑛,𝑔𝑀",CINE-3,Educación secundaria alta,,Total,2018,2016.0,Número de promovidos en situación de movilidad del último grado de cada nivel en el año escolar.
Chile,"𝐼𝐺𝑛,𝑔𝑀",CINE-3,Educación secundaria alta,,Hombres,2018,928.0,Número de promovidos en situación de movilidad del último grado de cada nivel en el año escolar.
Chile,"𝐼𝐺𝑛,𝑔𝑀",CINE-3,Educación secundaria alta,,Mujeres,2018,1088.0,Número de promovidos en situación de movilidad del último grado de cada nivel en el año escolar.
Chile,"𝐼𝐺𝑛,𝑔",CINE-1,Educación primaria,,Total,2018,235417.0,Número total de promovidos del último grado de cada nivel en el año escolar (estudiantes nacionales y en situación de movilidad).
Chile,"𝐼𝐺𝑛,𝑔",CINE-1,Educación primaria,,Hombres,2018,119784.0,Número total de promovidos del último grado de cada nivel en el año escolar (estudiantes nacionales y en situación de movilidad).
Chile,"𝐼𝐺𝑛,𝑔",CINE-1,Educación primaria,,Mujeres,2018,115633.0,Número total de promovidos del último grado de cada nivel en el año escolar (estudiantes nacionales y en situación de movilidad).
Chile,"𝐼𝐺𝑛,𝑔",CINE-2,Educación secundaria baja,,Total,2018,229780.0,Número total de promovidos del último grado de cada nivel en el año escolar (estudiantes nacionales y en situación de movilidad).
Chile,"𝐼𝐺𝑛,𝑔",CINE-2,Educación secundaria baja,,Hombres,2018,116673.0,Número total de promovidos del último grado de cada nivel en el año escolar (estudiantes nacionales y en situación de movilidad).
Chile,"𝐼𝐺𝑛,𝑔",CINE-2,Educación secundaria baja,,Mujeres,2018,113107.0,Número total de promovidos del último grado de cada nivel en el año escolar (estudiantes nacionales y en situación de movilidad).
Chile,"𝐼𝐺𝑛,𝑔",CINE-3,Educación secundaria alta,,Total,2018,123286.0,Número total de promovidos del último grado de cada nivel en el año escolar (estudiantes nacionales y en situación de movilidad).
Chile,"𝐼𝐺𝑛,𝑔",CINE-3,Educación secundaria alta,,Hombres,2018,56825.0,Número total de promovidos del último grado de cada nivel en el año escolar (estudiantes nacionales y en situación de movilidad).
Chile,"𝐼𝐺𝑛,𝑔",CINE-3,Educación secundaria alta,,Mujeres,2018,66461.0,Número total de promovidos del último grado de cada nivel en el año escolar (estudiantes nacionales y en situación de movilidad).
